"student_user_No","성별","지역","학교넘버","학교","학년","등급","수학점수"
24667,"F","대구광역시",972,"송현여자고등학교",48,468,NA
75376,"F","경기도",8211,"대원초등학교",699,472,2
7871,"M","대구광역시",319,"대원고등학교",48,462,8
787,"M","경상북도",1122,"의성중학교",478,472,9
78699,"M","대전광역시",9787,"유성고등학교",48,465,7
7522,"F","인천광역시",144,"강화여자고등학교",479,472,86
78696,"F","제주특별자치도",319,"남원중학교",477,471,1
78695,"F","경상남도",326,"삼천포여자중학교",479,472,85
78556,"M","",21,"기타",484,47,NA
75318,"F","부산광역시",97,"연제고등학교",48,465,46
78687,"F","서울특별시",89,"동마중학교",477,472,75
46213,"F","",21,"기타",484,465,NA
7869,"F","서울특별시",997,"신서중학교",477,472,NA
78689,"F","경기도",1182,"동탄중학교",477,472,85
78686,"M","",21,"기타",481,464,7
7846,"F","",21,"기타",48,47,NA
1413,"M","전라북도",8954,"신태인중학교",479,472,NA
7868,"F","대구광역시",879,"중리중학교",478,472,95
73435,"F","",21,"기타",484,464,8
78683,"F","서울특별시",327,"예원학교",477,472,NA
48488,"F","",21,"기타",479,472,6
67354,"M","서울특별시",9728,"덕수고등학교",48,464,68
75368,"F","대전광역시",763,"충남여자중학교",477,472,97
78671,"M","충청북도",12235,"폴수학학교",477,473,91
7865,"M","전라북도",12233,"한국경마축산고등학교(마이스터고)",484,47,1
78647,"F","광주광역시",1299,"운리초등학교",7,471,1
48917,"M","대전광역시",72,"대전대신중학교",478,471,68
7839,"F","전라남도",4674,"목포석현초등학교",7,472,96
58155,"F","",21,"기타",479,472,75
74172,"M","경기도",988,"용인고등학교",481,465,6
78665,"M","경상남도",1413,"마산용마고등학교",481,465,NA
53642,"F","경기도",832,"세교중학교",478,472,85
78667,"F","제주특별자치도",3223,"한라중학교",478,472,NA
78494,"M","부산광역시",1361,"부산남고등학교",481,465,31
19453,"F","부산광역시",393,"동래여자고등학교",48,462,NA
39866,"F","경상남도",182,"한일전산여자고등학교",48,47,NA
68548,"F","부산광역시",38,"가람중학교",478,471,95
75175,"M","경기도",59,"분당대진고등학교",481,463,8
78662,"F","서울특별시",7838,"강남중학교",479,472,NA
78597,"M","강원도",1617,"가곡중학교",477,473,8
78658,"M","제주특별자치도",6349,"신제주초등학교",7,471,95
78652,"M","경기도",2761,"부곡고등학교",481,467,2
35657,"F","경상북도",2794,"옥계동부중학교",479,471,NA
73864,"F","부산광역시",8897,"화신중학교",477,472,98
7751,"F","서울특별시",8645,"북악중학교",477,471,96
78654,"F","경기도",1458,"효원고등학교",48,465,8
7369,"F","인천광역시",665,"인천정각중학교",479,472,83
7397,"F","서울특별시",9862,"해성국제컨벤션고등학교",48,464,1
78651,"F","서울특별시",1415,"혜화여자고등학교",48,465,69
78649,"F","서울특별시",38,"광장중학교",479,472,85
65384,"F","인천광역시",188,"인천원당고등학교",48,464,6
78641,"F","서울특별시",38,"광장중학교",479,472,8
78646,"M","서울특별시",7838,"강남중학교",479,472,NA
78645,"F","서울특별시",7838,"강남중학교",479,472,NA
78643,"F","서울특별시",7838,"강남중학교",479,471,NA
35459,"M","경기도",929,"영생고등학교",481,465,NA
78565,"M","서울특별시",7838,"강남중학교",479,471,NA
41658,"F","경상남도",2285,"김해제일고등학교",481,465,NA
78637,"F","서울특별시",373,"화원중학교",477,472,NA
7329,"F","",21,"기타",7,472,4
78636,"F","대전광역시",1138,"대전매봉중학교",479,471,98
39357,"F","서울특별시",8939,"신서고등학교",48,465,NA
78626,"F","충청북도",131,"충주예성여자고등학교",481,465,74
61748,"F","대구광역시",933,"소선여자중학교",478,473,63
78422,"F","경기도",9954,"김포한가람중학교",479,472,85
2486,"F","경기도",1182,"동탄중학교",479,472,NA
7881,"M","인천광역시",7822,"가림고등학교",48,463,81
69988,"M","서울특별시",351,"태랑중학교",479,472,72
77494,"M","경상남도",1413,"마산용마고등학교",481,464,NA
72944,"M","강원도",282,"경포고등학교",48,463,NA
78595,"F","",21,"기타",484,466,2
36234,"M","",21,"기타",48,465,NA
68688,"F","경기도",1244,"부일중학교",479,471,1
76561,"F","강원도",8624,"명륜초등학교",699,472,1
78431,"F","경기도",1522,"지도중학교",479,472,85
74855,"M","대구광역시",785,"대건고등학교",48,464,7
7717,"F","경기도",1473,"의정부여자중학교",477,472,95
74198,"F","대구광역시",1292,"대구대봉초등학교",7,471,1
78611,"F","경기도",1583,"한광여자중학교",479,472,83
7837,"M","인천광역시",11113,"강서중학교",477,471,NA
7868,"F","부산광역시",872,"연일중학교",478,473,76
6971,"F","대구광역시",9338,"대구중앙초등학교",477,472,1
7862,"M","경기도",7328,"군포고등학교",48,466,49
77567,"M","광주광역시",13,"광주경신중학교",479,472,85
7861,"F","경기도",8334,"탄현중학교",477,473,87
7452,"F","부산광역시",427,"동래여자중학교",477,473,5
77819,"F","인천광역시",646,"원당중학교",479,472,9
73727,"F","부산광역시",8888,"구서여자중학교",477,473,6
74867,"F","인천광역시",562,"검단중학교",477,473,3
41664,"F","경기도",3276,"주곡중학교",479,472,NA
37554,"F","경기도",1522,"지도중학교",478,471,NA
78372,"F","대구광역시",1271,"대구대곡초등학교",7,471,1
3257,"F","",21,"기타",484,462,NA
49911,"F","경상북도",2762,"안동여자중학교",479,472,87
78592,"F","서울특별시",12231,"서울남정초등학교",7,472,2
4287,"F","인천광역시",676,"청량중학교",478,471,1
65658,"M","서울특별시",1373,"한영고등학교",48,464,76
7859,"F","부산광역시",594,"개포초등학교",699,472,9
78587,"F","경상남도",3165,"함안여자중학교",477,472,92
53747,"F","",21,"기타",484,466,7
34442,"F","",21,"기타",477,472,NA
31252,"M","서울특별시",918,"영동고등학교",482,463,NA
78518,"F","경기도",7739,"이호중학교",479,472,9
78583,"F","경기도",7739,"이호중학교",479,472,9
6634,"F","경상남도",2931,"광려중학교",477,471,96
52166,"F","",21,"기타",479,472,88
6842,"F","인천광역시",6462,"인천영선초등학교",477,472,NA
78564,"M","인천광역시",1981,"재능고등학교",482,464,9
78576,"F","경기도",811,"소하중학교",478,472,96
78575,"F","경기도",1223,"연현초등학교",7,472,98
78572,"F","서울특별시",11,"목운중학교",477,472,88
78573,"F","울산광역시",1543,"온남초등학교",7,472,86
7693,"M","서울특별시",12124,"서울신현초등학교",7,471,1
4758,"F","경기도",1216,"통진중학교",477,472,88
3296,"M","인천광역시",151,"신송고등학교",481,464,NA
17215,"M","경기도",2268,"성호초등학교",484,47,NA
3355,"M","서울특별시",8138,"압구정고등학교",48,462,NA
47596,"M","경기도",8284,"수내중학교",477,472,94
78251,"F","서울특별시",7838,"강남중학교",479,471,NA
74648,"F","대구광역시",1257,"대구경동초등학교",7,472,9
73863,"M","서울특별시",687,"선덕고등학교",484,464,8
47791,"F","인천광역시",915,"임학중학교",479,471,95
57264,"F","서울특별시",7338,"혜성여자고등학교",48,465,NA
78369,"F","인천광역시",655,"인천논현중학교",478,471,98
7855,"F","",21,"기타",484,468,35
78547,"M","경기도",252,"남한고등학교",482,462,96
78544,"F","광주광역시",7357,"설월여자고등학교",48,466,45
642,"M","경기도",86,"안산강서고등학교",481,465,1
16755,"M","인천광역시",9592,"인천신송초등학교",7,471,NA
78539,"F","경기도",145,"양주백석중학교",478,472,88
78527,"F","광주광역시",7118,"광주효광중학교",48,465,44
78512,"M","경기도",1535,"철산중학교",479,471,1
78529,"M","대전광역시",12227,"대전중리초등학교",7,471,1
78517,"M","서울특별시",115,"잠실고등학교",481,463,8
34368,"F","대구광역시",79,"관음중학교",477,471,NA
78526,"F","서울특별시",28,"숙명여자중학교",484,463,82
76911,"M","경기도",9163,"안곡중학교",479,473,19
32874,"F","",21,"기타",477,471,NA
78516,"F","부산광역시",12226,"양운초등학교",7,472,68
78521,"M","서울특별시",26,"연희중학교",477,472,9
78519,"F","경기도",1565,"평택여자중학교",479,473,8
211,"M","경기도",7933,"초지중학교",478,472,NA
7851,"M","경기도",1116,"금릉중학교",477,472,85
7856,"F","경상북도",121,"안동여자고등학교",484,464,82
52363,"F","경기도",1558,"파주광일중학교",479,471,1
7859,"F","서울특별시",1218,"서울문영여자중학교",477,471,96
57846,"M","전라북도",161,"전라고등학교",48,466,42
7858,"F","광주광역시",1672,"수문초등학교",699,471,1
72566,"F","서울특별시",9477,"서울위례초등학교",7,471,1
7855,"F","경상북도",7184,"포항이동중학교",477,471,1
7857,"F","부산광역시",8798,"연천중학교",477,472,88
77722,"F","충청북도",8786,"영신중학교",477,471,1
69272,"M","충청남도",11191,"대산중학교",477,473,22
7852,"F","서울특별시",9222,"수락고등학교",48,467,6
7853,"F","제주특별자치도",9785,"오름중학교",477,471,1
732,"F","서울특별시",1187,"당곡중학교",477,471,78
65897,"F","서울특별시",49,"경기여자고등학교",481,464,7
78498,"M","경기도",988,"용인고등학교",48,463,96
78497,"F","충청북도",9824,"충주예성여자중학교",477,472,85
8758,"M","서울특별시",73,"대왕중학교",478,471,NA
78491,"M","",21,"기타",484,467,7
7844,"F","울산광역시",164,"구영중학교",477,472,79
7578,"F","",21,"기타",698,472,85
78489,"F","경상북도",969,"신흥초등학교",7,472,86
1679,"F","",21,"기타",481,464,NA
7675,"F","경기도",153,"감정중학교",477,471,91
78344,"F","서울특별시",9181,"서울수암초등학교",7,472,9
78486,"F","대구광역시",771,"강동중학교",48,464,9
69951,"F","부산광역시",393,"동래여자고등학교",481,463,62
77275,"F","전라남도",481,"송호초등학교",7,472,1
44277,"M","",21,"기타",477,472,1
78482,"F","인천광역시",8724,"인주중학교",478,472,87
5621,"F","충청북도",3247,"솔밭중학교",477,472,5
78481,"F","충청남도",8116,"온양한올중학교",479,472,1
7848,"F","인천광역시",12222,"인천봉수초등학교",698,473,42
78479,"F","충청북도",3498,"용성초등학교",699,472,65
534,"M","울산광역시",8466,"천상중학교",478,471,1
7847,"F","",21,"기타",48,463,8
43292,"F","인천광역시",552,"부광여자고등학교",48,464,NA
78312,"F","서울특별시",351,"태랑중학교",478,472,8
78478,"F","경기도",1225,"백현중학교",477,471,NA
51141,"M","서울특별시",889,"양천고등학교",482,463,9
78475,"F","인천광역시",839,"인천심곡초등학교",7,472,95
6388,"F","서울특별시",11342,"서울중앙고등학교",481,463,95
78471,"M","",21,"기타",699,472,95
78453,"F","경기도",11779,"청석초등학교",7,472,9
78467,"F","경기도",8161,"군포화산초등학교",698,473,8
78468,"F","서울특별시",12221,"서울삼성초등학교",478,472,1
7419,"F","서울특별시",9862,"해성국제컨벤션고등학교",481,466,7
4173,"M","",21,"기타",479,472,NA
78455,"F","서울특별시",1222,"서울영풍초등학교",698,472,1
78461,"M","경기도",157,"정발중학교",479,471,92
37393,"F","",21,"기타",48,464,NA
61944,"F","충청남도",8116,"온양한올중학교",478,471,95
78447,"F","",21,"기타",479,471,NA
3325,"F","울산광역시",93,"울산강남중학교",478,471,NA
72595,"F","서울특별시",3483,"마곡중학교",479,472,NA
78443,"F","",21,"기타",479,471,NA
6953,"F","서울특별시",111,"목일중학교",478,472,95
875,"F","",21,"기타",482,463,NA
78439,"F","서울특별시",9394,"석관중학교",479,472,79
69612,"F","인천광역시",9892,"신흥여자중학교",479,472,7
78437,"F","경기도",9743,"부천북여자중학교",479,472,99
58317,"F","충청북도",8659,"일신여자고등학교",48,462,1
56931,"F","대구광역시",774,"경명여자중학교",478,472,82
75735,"F","경기도",1558,"파주광일중학교",478,472,89
78435,"F","전라북도",3274,"전북중학교",478,473,53
78432,"M","",21,"기타",479,472,8
78433,"F","경기도",1557,"퇴계원중학교",479,471,96
4829,"F","대구광역시",446,"매천고등학교",48,466,48
