question_No,student_user_No,개념값,좋은 문제인지 ,난이도,답변평가점수,학교넘버,성별,등급,학년,수학점수,학교,지역
137,42438,40,4,3,5,12001,WOMAN,471,700,\N,서울서원초등학교,서울특별시
138,78859,33,3,2,0,21,MAN,466,484,40,기타,
139,78857,22,3,2,5,215,WOMAN,462,480,0,길원여자고등학교,경상북도
140,77163,41,1,1,4.66667,12143,WOMAN,472,700,100,서울상경초등학교,서울특별시
141,77163,41,0,\N,0,12143,WOMAN,472,700,100,서울상경초등학교,서울특별시
142,77163,41,0,\N,0,12143,WOMAN,472,700,100,서울상경초등학교,서울특별시
143,77163,41,2,1,5,12143,WOMAN,472,700,100,서울상경초등학교,서울특별시
144,77163,41,0,\N,0,12143,WOMAN,472,700,100,서울상경초등학교,서울특별시
145,76516,26,3,2,5,451,WOMAN,462,481,0,명문고등학교,경기도
146,68332,22,4,3,0,10833,WOMAN,462,480,0,보라고등학교,경기도
147,68332,22,3,2,0,10833,WOMAN,462,480,0,보라고등학교,경기도
148,23369,18,3,2,3.66667,1226,WOMAN,472,479,\N,범계중학교,경기도
149,23369,18,3,1,5,1226,WOMAN,472,479,\N,범계중학교,경기도
150,68332,22,4,3,0,10833,WOMAN,462,480,0,보라고등학교,경기도
151,68332,21,3,3,0,10833,WOMAN,462,480,0,보라고등학교,경기도
152,78850,18,3,2,5,605,WOMAN,467,480,55,산남고등학교,충청북도
153,78851,19,4,2,5,7618,WOMAN,465,480,55,제주대학교사범대학부설고등학교,제주특별자치도
154,78850,18,3,2,4.66667,605,WOMAN,467,480,55,산남고등학교,충청북도
155,78849,815,4,2,4.33333,12244,WOMAN,472,700,96,대전도마초등학교,대전광역시
156,78821,33,2,3,5,362,WOMAN,465,482,70,덕문여자고등학교,부산광역시
157,73966,14,3,2,0,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
158,51354,61,3,2,5,9884,WOMAN,471,478,98,동수원중학교,경기도
159,50357,24,3,2,5,7182,WOMAN,471,479,100,하안중학교,경기도
160,78845,17,3,2,4,2275,WOMAN,466,481,39,남악고등학교,전라남도
161,41081,19,3,2,5,992,MAN,465,480,\N,우석고등학교,전라북도
162,41807,19,3,2,5,7783,MAN,472,478,\N,전주오송중학교,전라북도
163,68332,21,3,2,0,10833,WOMAN,462,480,0,보라고등학교,경기도
164,73966,14,3,2,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
165,41081,18,3,2,5,992,MAN,465,480,\N,우석고등학교,전라북도
166,68332,21,3,2,0,10833,WOMAN,462,480,0,보라고등학교,경기도
167,56419,41,3,3,5,10539,WOMAN,473,478,69,대전관저중학교,대전광역시
168,51354,61,3,2,5,9884,WOMAN,471,478,98,동수원중학교,경기도
169,73966,14,4,3,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
170,43126,19,4,3,0,998,MAN,463,480,88,운암고등학교,대구광역시
171,69255,827,3,2,1,9180,MAN,472,699,95,광주광명초등학교,경기도
172,63865,14,3,2,4,21,WOMAN,471,479,96,기타,
173,69255,827,3,2,0,9180,MAN,472,699,95,광주광명초등학교,경기도
174,69255,827,3,2,5,9180,MAN,472,699,95,광주광명초등학교,경기도
175,75018,13,3,2,0,3237,WOMAN,472,479,95,문시중학교,경기도
176,68332,21,4,3,5,10833,WOMAN,462,480,0,보라고등학교,경기도
177,73646,21,4,3,5,10318,WOMAN,465,480,57,서천고등학교,경기도
178,73646,21,3,3,5,10318,WOMAN,465,480,57,서천고등학교,경기도
179,73646,23,3,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
180,73646,23,4,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
181,69255,827,3,3,5,9180,MAN,472,699,95,광주광명초등학교,경기도
182,73646,21,4,3,5,10318,WOMAN,465,480,57,서천고등학교,경기도
183,73646,21,4,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
184,73646,23,4,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
185,55919,13,3,2,5,9005,WOMAN,471,479,97,대전버드내중학교,대전광역시
186,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
187,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
188,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
189,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
190,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
191,42164,705,1,1,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
192,42164,705,1,1,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
193,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
194,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
195,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
196,78834,16,4,3,5,62,WOMAN,464,481,85,경북여자고등학교,대구광역시
197,42164,705,3,1,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
198,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
199,66752,14,4,3,5,1564,MAN,471,478,100,평촌중학교,경기도
200,73966,14,4,3,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
201,42164,705,3,2,0,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
202,69255,827,3,2,5,9180,MAN,472,699,95,광주광명초등학교,경기도
203,55919,13,4,3,5,9005,WOMAN,471,479,97,대전버드내중학교,대전광역시
204,69255,828,0,\N,0,9180,MAN,472,699,95,광주광명초등학교,경기도
205,73966,14,4,3,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
206,78563,13,3,2,5,8163,WOMAN,464,480,79,부산고등학교,부산광역시
207,78834,16,3,2,5,62,WOMAN,464,481,85,경북여자고등학교,대구광역시
208,78824,14,4,3,0,7632,WOMAN,471,479,0,고려대학교사범대학부속중학교,서울특별시
209,37298,13,3,3,0,8184,WOMAN,472,479,\N,대전대청중학교,대전광역시
210,77519,37,4,3,5,10253,MAN,463,482,88,천안중앙고등학교,충청남도
211,61942,47,1,2,0,21,MAN,472,477,95,기타,
212,77682,12,4,3,4.33333,2919,WOMAN,471,477,100,경해여자중학교,경상남도
213,78827,68,3,2,5,21,WOMAN,471,478,98,기타,
214,71030,2146,3,2,5,731,WOMAN,465,480,100,성지여자고등학교,경상남도
