question_No,student_user_No,개념값,좋은 문제인지 ,난이도,답변평가점수,학교넘버,성별,등급,학년,수학점수,학교,지역
6386,21331,1175,4,3,5,9798,WOMAN,466,481,\N,명덕여자고등학교,서울특별시
6387,21331,1174,3,2,5,9798,WOMAN,466,481,\N,명덕여자고등학교,서울특별시
6388,11877,1174,3,2,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6389,75070,59,4,3,5,8031,WOMAN,472,477,90,천천중학교,경기도
6390,75070,59,4,2,4.33333,8031,WOMAN,472,477,90,천천중학교,경기도
6391,40900,19,4,3,5,352,WOMAN,465,480,\N,대진여자고등학교,서울특별시
6392,75070,59,4,3,5,8031,WOMAN,472,477,90,천천중학교,경기도
6393,11877,1174,3,2,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6394,75070,59,4,2,5,8031,WOMAN,472,477,90,천천중학교,경기도
6395,75070,59,4,2,5,8031,WOMAN,472,477,90,천천중학교,경기도
6396,21331,1175,3,2,5,9798,WOMAN,466,481,\N,명덕여자고등학교,서울특별시
6397,75070,59,4,3,5,8031,WOMAN,472,477,90,천천중학교,경기도
6398,75070,59,4,3,5,8031,WOMAN,472,477,90,천천중학교,경기도
6399,51745,1169,4,2,5,1160,WOMAN,464,481,75,제주여자고등학교,제주특별자치도
6400,75070,59,5,2,5,8031,WOMAN,472,477,90,천천중학교,경기도
6401,75654,59,4,3,5,838,WOMAN,472,478,93,상원중학교,대구광역시
6402,73966,27,4,2,4.66667,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
6403,11877,1175,4,3,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6404,63163,33,4,3,5,8339,MAN,465,481,50,대인고등학교,인천광역시
6405,11877,1174,3,1,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6406,11877,1173,4,3,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6407,75070,59,5,2,5,8031,WOMAN,472,477,90,천천중학교,경기도
6408,75401,1700,4,3,5,1493,MAN,471,478,98,장곡중학교,경기도
6409,34124,53,3,2,5,21,WOMAN,472,477,\N,기타,
6410,75070,59,4,3,5,8031,WOMAN,472,477,90,천천중학교,경기도
6411,75070,59,4,2,4.66667,8031,WOMAN,472,477,90,천천중학교,경기도
6412,75070,59,3,2,5,8031,WOMAN,472,477,90,천천중학교,경기도
6413,75517,57,4,2,4.33333,276,WOMAN,473,478,56,오금중학교,서울특별시
6414,75070,59,2,2,5,8031,WOMAN,472,477,90,천천중학교,경기도
6415,50653,27,4,3,5,390,WOMAN,466,481,49,동덕여자고등학교,서울특별시
6416,75642,59,4,2,4.33333,2892,WOMAN,472,478,60,형남중학교,경상북도
6417,75645,59,2,1,5,10603,WOMAN,472,478,70,부강중학교,세종특별자치시
6418,75645,59,4,3,5,10603,WOMAN,472,478,70,부강중학교,세종특별자치시
6419,68786,17,4,3,5,10509,WOMAN,465,480,50,후포고등학교,경상북도
6420,75640,58,3,2,2.33333,1003,WOMAN,471,478,0,상일중학교,광주광역시
6421,11877,1775,3,2,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6422,57181,19,5,3,5,11007,MAN,463,480,81,마산중앙고등학교,경상남도
6423,11877,1776,3,2,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6424,75634,18,3,2,5,515,MAN,466,480,43,백석고등학교,경기도
6425,61046,1170,4,2,5,644,WOMAN,472,478,94,용현여자중학교,인천광역시
6426,75633,18,4,3,5,10103,MAN,464,480,49,현대공업고등학교(마이스터고),울산광역시
6427,73603,57,4,2,5,10410,WOMAN,472,478,56,기장중학교,부산광역시
6428,11877,18,4,3,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6429,57832,32,0,\N,0,21,MAN,466,481,51,기타,
6430,57832,32,0,\N,0,21,MAN,466,481,51,기타,
6431,57832,32,3,2,5,21,MAN,466,481,51,기타,
6432,57832,33,4,2,5,21,MAN,466,481,51,기타,
6433,57832,32,4,3,5,21,MAN,466,481,51,기타,
6434,11877,18,3,2,5,9828,WOMAN,464,480,\N,청원고등학교,충청북도
6435,55002,18,3,2,5,7611,WOMAN,465,480,40,인화여자고등학교,인천광역시
6436,55002,18,4,3,5,7611,WOMAN,465,480,40,인화여자고등학교,인천광역시
6437,75625,59,4,3,5,9097,WOMAN,472,478,0,신서중학교,서울특별시
6438,72793,47,4,2,3.66667,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6439,72793,47,4,3,3.66667,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6440,73603,57,3,1,5,10410,WOMAN,472,478,56,기장중학교,부산광역시
6441,34722,22,4,3,5,9680,WOMAN,465,481,\N,인천여자고등학교,인천광역시
6442,73966,27,3,2,4.33333,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
6443,75625,59,3,2,5,9097,WOMAN,472,478,0,신서중학교,서울특별시
6444,75623,18,4,3,5,7191,MAN,465,480,54,경북고등학교,대구광역시
6445,57832,32,3,2,5,21,MAN,466,481,51,기타,
6446,57832,33,3,2,5,21,MAN,466,481,51,기타,
6447,57832,33,5,4,5,21,MAN,466,481,51,기타,
6448,74124,1148,4,4,5,2004,WOMAN,472,478,80,성환중학교,충청남도
6449,75617,28,4,2,5,10113,WOMAN,464,481,65,장항고등학교,충청남도
6450,55002,18,3,2,4,7611,WOMAN,465,480,40,인화여자고등학교,인천광역시
6451,29630,47,4,3,5,8996,WOMAN,471,477,\N,시지중학교,대구광역시
6452,75487,24,4,2,5,7822,WOMAN,465,481,70,가림고등학교,인천광역시
6453,31907,24,4,3,5,8589,WOMAN,466,480,\N,가평고등학교,경기도
6454,55002,18,4,3,5,7611,WOMAN,465,480,40,인화여자고등학교,인천광역시
6455,31907,24,3,2,5,8589,WOMAN,466,480,\N,가평고등학교,경기도
6456,55002,18,3,2,5,7611,WOMAN,465,480,40,인화여자고등학교,인천광역시
6457,75602,1162,0,\N,0,934,WOMAN,464,480,0,영신여자고등학교,서울특별시
6458,72793,47,5,3,4,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6459,72793,47,3,2,4,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6460,31907,24,3,2,5,8589,WOMAN,466,480,\N,가평고등학교,경기도
6461,31907,24,4,3,5,8589,WOMAN,466,480,\N,가평고등학교,경기도
6462,31907,24,0,\N,0,8589,WOMAN,466,480,\N,가평고등학교,경기도
6463,74541,59,5,4,5,9097,MAN,472,478,59,신서중학교,서울특별시
6464,31907,24,4,3,5,8589,WOMAN,466,480,\N,가평고등학교,경기도
6465,31907,24,3,2,5,8589,WOMAN,466,480,\N,가평고등학교,경기도
6466,68786,18,4,3,3,10509,WOMAN,465,480,50,후포고등학교,경상북도
6467,41658,32,4,3,5,2285,WOMAN,465,481,\N,김해제일고등학교,경상남도
6468,41658,32,4,3,5,2285,WOMAN,465,481,\N,김해제일고등학교,경상남도
6469,75569,1168,5,3,5,8709,MAN,463,480,95,대아고등학교,경상남도
6470,41658,33,4,3,5,2285,WOMAN,465,481,\N,김해제일고등학교,경상남도
6471,41658,32,4,3,5,2285,WOMAN,465,481,\N,김해제일고등학교,경상남도
6472,41658,33,4,3,5,2285,WOMAN,465,481,\N,김해제일고등학교,경상남도
6473,75065,18,4,3,5,1333,MAN,464,480,0,포항중앙고등학교,경상북도
6474,57832,33,3,2,5,21,MAN,466,481,51,기타,
6475,57832,33,4,2,5,21,MAN,466,481,51,기타,
6476,31824,18,3,2,5,828,WOMAN,465,480,\N,신명여자고등학교,인천광역시
6477,71801,51,3,1,3,7870,WOMAN,472,479,80,문경중학교,경상북도
6478,31824,18,4,2,5,828,WOMAN,465,480,\N,신명여자고등학교,인천광역시
6479,31824,18,4,3,5,828,WOMAN,465,480,\N,신명여자고등학교,인천광역시
6480,71801,51,4,3,5,7870,WOMAN,472,479,80,문경중학교,경상북도
6481,51150,13,4,2,5,21,MAN,471,479,100,기타,
6482,75569,1168,0,\N,0,8709,MAN,463,480,95,대아고등학교,경상남도
6483,73966,27,4,3,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
6484,72793,47,4,3,3.66667,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6485,72793,47,4,2,3.33333,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6486,41758,27,4,3,5,7259,WOMAN,463,481,\N,보문고등학교,광주광역시
6487,41758,27,4,3,4.33333,7259,WOMAN,463,481,\N,보문고등학교,광주광역시
6488,60029,1712,3,2,5,1223,WOMAN,463,480,89,창덕여자고등학교,서울특별시
6489,41758,27,4,3,4,7259,WOMAN,463,481,\N,보문고등학교,광주광역시
6490,57540,24,4,2,5,1363,MAN,466,481,0,한림고등학교,제주특별자치도
6491,73889,1774,3,2,5,7712,MAN,472,478,90,신반포중학교,서울특별시
6492,73966,27,4,3,5,8355,WOMAN,465,481,50,광주숭일고등학교,광주광역시
6493,75589,32,4,3,3,2017,WOMAN,472,479,0,아산배방중학교,충청남도
6494,70709,31,4,3,4,1015,MAN,465,481,60,원광고등학교,전라북도
6495,72793,47,4,2,3.33333,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6496,70709,33,4,3,5,1015,MAN,465,481,60,원광고등학교,전라북도
6497,50653,27,4,2,5,390,WOMAN,466,481,49,동덕여자고등학교,서울특별시
6498,75463,58,4,2,2.33333,9132,WOMAN,473,478,34,포산중학교,대구광역시
6499,72793,47,4,3,3.33333,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6500,72793,47,3,3,2.66667,322,WOMAN,472,477,80,정원여자중학교,서울특별시
6501,75575,58,2,1,5,80,MAN,472,478,83,덕원중학교,서울특별시
6502,57494,2141,2,4,5,9453,WOMAN,471,477,100,온곡중학교,서울특별시
6503,35934,18,4,2,5,10086,WOMAN,465,480,\N,구성고등학교,경기도
6504,75532,2203,2,2,5,6772,WOMAN,472,700,86,동성초등학교,충청북도
6505,68731,28,4,3,5,1156,WOMAN,463,481,86,정화여자고등학교,대구광역시
6506,65041,18,3,1,4.33333,11054,WOMAN,469,480,48,풍산고등학교,경상북도
6507,41181,52,0,\N,0,8527,WOMAN,473,477,\N,운리중학교,광주광역시
6508,75569,1169,0,\N,0,8709,MAN,463,480,95,대아고등학교,경상남도
6509,75568,58,4,3,5,9139,WOMAN,473,478,49,강북중학교,서울특별시
6510,61063,1193,4,2,5,10771,WOMAN,465,480,30,삼평고등학교,경기도
6511,51565,59,4,2,5,8216,WOMAN,473,478,49,삼산중학교,인천광역시
6512,63865,13,4,3,5,21,WOMAN,471,479,96,기타,
6513,51565,59,4,3,4,8216,WOMAN,473,478,49,삼산중학교,인천광역시
6514,60029,1712,4,3,5,1223,WOMAN,463,480,89,창덕여자고등학교,서울특별시
6515,61355,41,3,2,5,567,WOMAN,471,477,80,관교여자중학교,인천광역시
6516,75553,59,4,2,5,8943,WOMAN,473,478,39,구월여자중학교,인천광역시
6517,75552,17,4,3,5,11062,MAN,463,480,0,신철원고등학교,강원도
6518,55090,31,2,1,4,2587,WOMAN,463,481,2,비전고등학교,경기도
6519,65581,33,4,3,5,21,MAN,465,484,80,기타,
6520,15431,22,3,2,5,21,MAN,466,484,\N,기타,
6521,75532,2203,4,2,5,6772,WOMAN,472,700,86,동성초등학교,충청북도
6522,50653,27,4,3,5,390,WOMAN,466,481,49,동덕여자고등학교,서울특별시
6523,37298,13,4,3,4.33333,8184,WOMAN,472,479,\N,대전대청중학교,대전광역시
6524,75544,46,5,2,5,726,WOMAN,473,477,52,대전송촌중학교,대전광역시
6525,75544,46,5,2,5,726,WOMAN,473,477,52,대전송촌중학교,대전광역시
6526,75541,1208,4,3,3,21,MAN,462,484,100,기타,
6527,50653,27,4,2,5,390,WOMAN,466,481,49,동덕여자고등학교,서울특별시
6528,50653,27,3,3,5,390,WOMAN,466,481,49,동덕여자고등학교,서울특별시
6529,75524,18,4,3,5,9752,MAN,463,480,87,신성고등학교,경기도
6530,75524,18,3,2,5,9752,MAN,463,480,87,신성고등학교,경기도
6531,32570,27,3,3,5,21,WOMAN,462,484,\N,기타,
6532,55090,32,3,2,5,2587,WOMAN,463,481,2,비전고등학교,경기도
6533,74919,59,4,2,5,2762,WOMAN,473,478,71,안동여자중학교,경상북도
6534,75526,42,3,3,5,7990,WOMAN,472,477,80,반곡중학교,강원도
6535,74103,19,3,2,5,10189,MAN,463,480,0,동국대학교사범대학부속영석고등학교,경기도
6536,74919,59,3,3,5,2762,WOMAN,473,478,71,안동여자중학교,경상북도
6537,67740,18,3,3,4.33333,1978,WOMAN,468,481,0,청주여자상업고등학교,충청북도
6538,40401,1746,5,3,5,419,WOMAN,463,481,\N,동화고등학교,경기도
6539,48897,59,3,2,3,21,MAN,472,478,80,기타,
6540,73327,59,4,3,4,9973,MAN,472,478,96,동대전중학교,대전광역시
6541,75501,826,3,2,5,3369,WOMAN,472,699,95,덕성초등학교,충청북도
6542,35459,24,4,3,5,929,MAN,465,481,\N,영생고등학교,경기도
6543,31824,27,4,3,5,828,WOMAN,465,480,\N,신명여자고등학교,인천광역시
6544,35934,17,3,2,5,10086,WOMAN,465,480,\N,구성고등학교,경기도
6545,52183,18,3,2,5,21,WOMAN,463,480,0,기타,
6546,52183,18,3,3,5,21,WOMAN,463,480,0,기타,
6547,52183,18,4,3,5,21,WOMAN,463,480,0,기타,
6548,50799,41,3,3,5,1735,WOMAN,471,479,97,율곡중학교,강원도
6549,73325,711,3,2,5,9215,WOMAN,472,699,85,서현초등학교,경기도
6550,75512,827,3,2,4,12040,WOMAN,471,699,100,버들초등학교,강원도
6551,33520,1148,3,2,5,636,WOMAN,471,478,\N,연성중학교,인천광역시
6552,35934,17,4,3,5,10086,WOMAN,465,480,\N,구성고등학교,경기도
6553,48897,59,3,2,4,21,MAN,472,478,80,기타,
6554,48897,59,3,3,4,21,MAN,472,478,80,기타,
6555,26405,51,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6556,26405,51,4,3,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6557,35934,17,3,2,5,10086,WOMAN,465,480,\N,구성고등학교,경기도
6558,60071,59,3,3,5,21,WOMAN,472,478,80,기타,
6559,75501,823,3,2,5,3369,WOMAN,472,699,95,덕성초등학교,충청북도
6560,26405,51,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6561,75477,18,4,2,4.66667,1248,WOMAN,466,480,47,창현고등학교,경기도
6562,75477,19,4,3,4.66667,1248,WOMAN,466,480,47,창현고등학교,경기도
6563,55090,33,3,3,4,2587,WOMAN,463,481,2,비전고등학교,경기도
6564,75494,58,3,2,4.66667,2752,MAN,472,478,97,신라중학교,경상북도
6565,75487,24,3,2,4,7822,WOMAN,465,481,70,가림고등학교,인천광역시
6566,75485,13,3,3,4,7216,WOMAN,472,479,89,숭의여자중학교,서울특별시
6567,75457,13,3,1,4,10107,MAN,470,481,50,인천하이텍고등학교,인천광역시
6568,67740,18,4,2,5,1978,WOMAN,468,481,0,청주여자상업고등학교,충청북도
6569,51150,12,3,3,5,21,MAN,471,479,100,기타,
6570,51150,12,3,2,5,21,MAN,471,479,100,기타,
6571,75475,57,0,\N,0,9991,MAN,472,478,88,항도중학교,부산광역시
6572,75474,942,3,3,4,21,WOMAN,472,698,89,기타,
6573,75475,57,0,\N,0,9991,MAN,472,478,88,항도중학교,부산광역시
6574,69061,41,3,2,4,9613,WOMAN,471,700,97,화성금곡초등학교,경기도
6575,16790,19,3,2,5,21,WOMAN,464,481,\N,기타,
6576,75473,938,0,\N,0,7466,WOMAN,473,698,68,한울초등학교,경기도
6577,69061,39,4,3,3.33333,9613,WOMAN,471,700,97,화성금곡초등학교,경기도
6578,34722,22,4,2,5,9680,WOMAN,465,481,\N,인천여자고등학교,인천광역시
6579,16790,18,0,\N,0,21,WOMAN,464,481,\N,기타,
6580,16790,18,4,2,5,21,WOMAN,464,481,\N,기타,
6581,75470,18,3,1,5,9705,WOMAN,463,480,75,대전둔원고등학교,대전광역시
6582,75470,18,4,3,4,9705,WOMAN,463,480,75,대전둔원고등학교,대전광역시
6583,70494,36,4,2,5,21,WOMAN,462,482,100,기타,
6584,34722,22,0,\N,0,9680,WOMAN,465,481,\N,인천여자고등학교,인천광역시
6585,55090,33,4,2,5,2587,WOMAN,463,481,2,비전고등학교,경기도
6586,75466,829,5,3,5,534,WOMAN,472,699,95,서울한남초등학교,서울특별시
6587,75465,19,3,1,5,11795,WOMAN,471,700,100,서울신동초등학교,서울특별시
6588,45385,19,4,3,5,515,WOMAN,465,480,0,백석고등학교,경기도
6589,75465,19,2,3,5,11795,WOMAN,471,700,100,서울신동초등학교,서울특별시
6590,75461,814,5,2,5,7677,WOMAN,471,698,100,남양주신촌초등학교,경기도
6591,63615,18,3,2,5,10191,WOMAN,464,480,78,성포고등학교,경기도
6592,75464,19,5,2,5,475,WOMAN,466,480,0,무학여자고등학교,서울특별시
6593,64953,18,0,\N,0,9546,MAN,464,480,70,고려고등학교,광주광역시
6594,33055,18,5,3,5,8138,MAN,462,480,\N,압구정고등학교,서울특별시
6595,31824,18,4,3,5,828,WOMAN,465,480,\N,신명여자고등학교,인천광역시
6596,65897,1170,3,2,5,49,WOMAN,464,481,70,경기여자고등학교,서울특별시
6597,75459,17,3,2,5,10645,WOMAN,464,480,90,이화여자대학교병설미디어고등학교,서울특별시
6598,75460,19,3,2,5,475,WOMAN,466,480,0,무학여자고등학교,서울특별시
6599,75461,814,3,1,5,7677,WOMAN,471,698,100,남양주신촌초등학교,경기도
6600,33055,12,3,2,5,8138,MAN,462,480,\N,압구정고등학교,서울특별시
6601,35459,33,4,3,5,929,MAN,465,481,\N,영생고등학교,경기도
6602,75458,1139,4,3,5,1303,WOMAN,472,479,100,성남여자중학교,경기도
6603,75459,17,4,3,3.33333,10645,WOMAN,464,480,90,이화여자대학교병설미디어고등학교,서울특별시
6604,75440,18,4,2,5,10473,WOMAN,467,480,85,선일이비즈니스고등학교,서울특별시
6605,31824,18,3,1,5,828,WOMAN,465,480,\N,신명여자고등학교,인천광역시
6606,72978,59,4,3,5,293,WOMAN,472,478,85,월곡중학교,서울특별시
6607,34722,32,4,3,5,9680,WOMAN,465,481,\N,인천여자고등학교,인천광역시
6608,35459,18,4,3,2.66667,929,MAN,465,481,\N,영생고등학교,경기도
6609,65897,1170,3,2,5,49,WOMAN,464,481,70,경기여자고등학교,서울특별시
6610,74541,59,4,3,5,9097,MAN,472,478,59,신서중학교,서울특별시
6611,75453,69,3,2,5,2234,WOMAN,472,479,80,이리남성여자중학교,전라북도
6612,75451,12,4,2,4,7075,MAN,471,479,92,대구중앙중학교,대구광역시
6613,75452,37,0,\N,0,21,WOMAN,464,482,2,기타,
6614,75446,2204,1,1,5,6509,MAN,472,699,100,대구율원초등학교,대구광역시
6615,75446,2204,2,2,5,6509,MAN,472,699,100,대구율원초등학교,대구광역시
6616,75446,2204,3,2,5,6509,MAN,472,699,100,대구율원초등학교,대구광역시
6617,57846,19,5,4,5,10610,MAN,466,480,42,전라고등학교,전라북도
6618,65897,1170,3,2,5,49,WOMAN,464,481,70,경기여자고등학교,서울특별시
6619,75332,829,0,\N,0,12023,WOMAN,472,699,95,청하초등학교,경상북도
6620,65897,1170,3,2,5,49,WOMAN,464,481,70,경기여자고등학교,서울특별시
6621,75440,18,4,3,5,10473,WOMAN,467,480,85,선일이비즈니스고등학교,서울특별시
6622,60822,18,3,2,5,1356,WOMAN,464,480,2,한가람고등학교,서울특별시
6623,75442,59,3,3,5,2900,WOMAN,473,478,30,후포중학교,경상북도
6624,74853,39,4,3,4.33333,8353,WOMAN,471,477,0,인헌중학교,서울특별시
6625,60822,18,4,3,5,1356,WOMAN,464,480,2,한가람고등학교,서울특별시
6626,60822,18,3,3,5,1356,WOMAN,464,480,2,한가람고등학교,서울특별시
6627,42958,33,3,2,5,9798,WOMAN,464,481,68,명덕여자고등학교,서울특별시
6628,30557,13,4,3,5,21,MAN,466,484,\N,기타,
6629,75438,13,5,3,5,1219,MAN,472,477,0,백석중학교,경기도
6630,75438,13,5,3,5,1219,MAN,472,477,0,백석중학교,경기도
6631,42958,33,4,2,5,9798,WOMAN,464,481,68,명덕여자고등학교,서울특별시
6632,42807,58,4,3,5,676,WOMAN,471,478,100,청량중학교,인천광역시
6633,42807,58,4,3,5,676,WOMAN,471,478,100,청량중학교,인천광역시
6634,75434,13,4,3,5,1219,MAN,472,477,0,백석중학교,경기도
6635,42164,702,3,2,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6636,42164,702,4,3,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6637,42164,702,4,3,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6638,42164,702,4,2,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6639,42164,707,3,3,4,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6640,35459,18,4,3,5,929,MAN,465,481,\N,영생고등학교,경기도
6641,42164,707,4,3,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6642,75434,13,4,3,5,1219,MAN,472,477,0,백석중학교,경기도
6643,42164,707,4,3,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6644,42164,707,5,2,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6645,42164,707,4,3,5,11600,WOMAN,471,698,\N,서울오륜초등학교,서울특별시
6646,26406,19,4,2,5,21,WOMAN,464,484,\N,기타,
6647,72722,39,3,2,5,2520,WOMAN,473,700,14,운암초등학교,경기도
6648,63615,19,4,2,5,10191,WOMAN,464,480,78,성포고등학교,경기도
6649,35644,18,3,3,5,373,WOMAN,472,479,\N,화원중학교,서울특별시
6650,50502,22,4,2,5,324,MAN,464,484,85,대전고등학교,대전광역시
6651,50502,22,4,2,5,324,MAN,464,484,85,대전고등학교,대전광역시
6652,50502,22,4,2,5,324,MAN,464,484,85,대전고등학교,대전광역시
6653,50502,21,4,3,5,324,MAN,464,484,85,대전고등학교,대전광역시
6654,50502,22,4,3,5,324,MAN,464,484,85,대전고등학교,대전광역시
6655,75429,17,4,2,5,21,WOMAN,466,484,0,기타,
6656,63615,19,3,2,5,10191,WOMAN,464,480,78,성포고등학교,경기도
6657,63615,19,3,2,5,10191,WOMAN,464,480,78,성포고등학교,경기도
6658,75427,2137,2,2,5,21,WOMAN,468,484,50,기타,
6659,75427,2138,2,2,5,21,WOMAN,468,484,50,기타,
6660,75427,2146,0,\N,0,21,WOMAN,468,484,50,기타,
6661,75425,18,4,3,5,998,WOMAN,464,480,0,운암고등학교,대구광역시
6662,75423,31,4,2,5,21,MAN,464,484,95,기타,
6663,75423,31,3,2,3.66667,21,MAN,464,484,95,기타,
6664,69718,61,4,2,5,1013,MAN,471,700,100,인천석남초등학교,인천광역시
6665,35459,18,3,2,5,929,MAN,465,481,\N,영생고등학교,경기도
6666,52976,19,3,2,3,8346,MAN,471,479,95,송파중학교,서울특별시
6667,52976,19,4,2,3,8346,MAN,471,479,95,송파중학교,서울특별시
6668,52976,18,4,2,3,8346,MAN,471,479,95,송파중학교,서울특별시
6669,45666,37,5,4,5,807,WOMAN,463,482,88,숭덕고등학교,광주광역시
6670,75420,13,3,2,5,21,WOMAN,466,480,65,기타,
6671,75420,13,3,1,5,21,WOMAN,466,480,65,기타,
6672,75420,13,0,\N,0,21,WOMAN,466,480,65,기타,
6673,26405,59,4,3,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6674,26405,59,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6675,26405,59,4,3,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6676,26405,59,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6677,26405,59,4,2,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6678,26405,59,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6679,26405,59,5,3,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6680,26405,59,2,1,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6681,26405,59,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6682,26405,59,4,3,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6683,26405,59,4,3,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6684,26405,51,4,1,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6685,26405,51,3,3,4,921,WOMAN,472,478,\N,신일중학교,울산광역시
6686,26405,51,3,1,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6687,26405,51,5,2,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6688,26405,51,5,2,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6689,26405,51,3,1,5,921,WOMAN,472,478,\N,신일중학교,울산광역시
6690,60199,27,4,2,5,21,MAN,465,480,70,기타,
6691,73496,16,4,2,5,1414,WOMAN,466,482,30,혜원여자고등학교,서울특별시
6692,13151,1175,4,2,5,517,WOMAN,464,481,\N,백암고등학교,서울특별시
6693,13151,1175,4,2,5,517,WOMAN,464,481,\N,백암고등학교,서울특별시
6694,23369,17,3,3,4,1226,WOMAN,472,479,\N,범계중학교,경기도
6695,37393,19,3,2,5,21,WOMAN,464,480,\N,기타,
6696,74630,1162,0,\N,0,8583,MAN,464,480,69,부천고등학교,경기도
6697,37393,19,3,2,5,21,WOMAN,464,480,\N,기타,
6698,66223,36,3,2,5,1420,WOMAN,464,481,53,호남제일고등학교,전라북도
6699,75350,18,1,1,5,7872,WOMAN,467,480,58,효성여자고등학교,대구광역시
6700,66223,36,3,2,5,1420,WOMAN,464,481,53,호남제일고등학교,전라북도
6701,75408,36,1,1,5,10127,WOMAN,468,481,0,흥덕고등학교,충청북도
6702,75350,18,3,2,4,7872,WOMAN,467,480,58,효성여자고등학교,대구광역시
6703,37393,19,3,2,5,21,WOMAN,464,480,\N,기타,
6704,75406,28,3,2,5,785,WOMAN,466,481,63,수완고등학교,광주광역시
6705,75405,59,0,\N,0,21,WOMAN,470,484,0,기타,
6706,37393,19,3,2,5,21,WOMAN,464,480,\N,기타,
6707,37393,19,5,2,5,21,WOMAN,464,480,\N,기타,
6708,75404,23,4,2,5,319,MAN,464,480,0,대원고등학교,대구광역시
6709,75404,23,3,2,5,319,MAN,464,480,0,대원고등학교,대구광역시
6710,75402,59,3,2,5,656,WOMAN,472,478,78,인천당하중학교,인천광역시
6711,37393,19,1,1,5,21,WOMAN,464,480,\N,기타,
6712,75395,27,3,2,3.66667,8738,WOMAN,472,479,100,양운중학교,부산광역시
6713,75399,19,3,2,5,515,WOMAN,465,480,54,백석고등학교,경기도
6714,75401,1700,3,2,5,1493,MAN,471,478,98,장곡중학교,경기도
6715,39703,58,4,3,4.66667,21,WOMAN,471,478,\N,기타,
6716,75400,24,3,2,5,319,MAN,471,477,0,대원고등학교,대구광역시
6717,75400,23,3,2,5,319,MAN,471,477,0,대원고등학교,대구광역시
6718,73982,18,4,2,5,21,WOMAN,466,480,52,기타,
6719,75397,31,4,3,5,10343,WOMAN,465,481,0,첨단고등학교,광주광역시
6720,75399,19,3,2,3.33333,515,WOMAN,465,480,54,백석고등학교,경기도
6721,37393,18,4,3,5,21,WOMAN,464,480,\N,기타,
6722,75394,24,2,1,5,1847,WOMAN,466,481,75,근명여자정보고등학교,경기도
6723,75397,31,3,1,3.33333,10343,WOMAN,465,481,0,첨단고등학교,광주광역시
6724,34933,32,4,2,5,1097,WOMAN,465,481,\N,일산동고등학교,경기도
6725,39703,58,4,2,5,21,WOMAN,471,478,\N,기타,
6726,41758,28,0,\N,0,7259,WOMAN,463,481,\N,보문고등학교,광주광역시
6727,32570,27,3,2,5,21,WOMAN,462,484,\N,기타,
6728,32570,27,3,2,5,21,WOMAN,462,484,\N,기타,
6729,32570,27,4,3,5,21,WOMAN,462,484,\N,기타,
